"","PERIOD","FLOW","REPORTER","MAP_NAME","PARTNER","VAL","NET"
"1",2019,"Export","Denmark","Denmark","World",3024507928,"247339670"
"2",2019,"Export","Germany","Germany","World",2280021120,"288929351"
"3",2019,"Export","China","China","World",949473202,"107273217"
"4",2019,"Export","Netherlands","Netherlands","World",703500237,"NA"
"5",2019,"Export","Spain","Spain","World",616714622,"83141559"
"6",2019,"Export","USA","United States","World",132606690,"0"
"7",2019,"Export","India","India","World",42320495,"4758062"
"8",2019,"Export","Portugal","Portugal","World",24297869,"9713076"
"9",2019,"Export","Brazil","Brazil","World",22770364,"2751615"
"10",2019,"Export","Greece","Greece","World",15288251,"NA"
"11",2019,"Export","Japan","Japan","World",13657168,"1443054"
"12",2019,"Export","Belgium","Belgium","World",11385573,"2496914"
"13",2019,"Export","Estonia","Estonia","World",9685124,"1407393"
"14",2019,"Export","Lithuania","Lithuania","World",8750776,"3301126"
"15",2019,"Export","Ireland","Ireland","World",5623076,"173022"
"16",2019,"Export","Israel","Israel","World",3738000,"420260"
"17",2019,"Export","France","France","World",3302548,"NA"
"18",2019,"Export","Thailand","Thailand","World",2808893,"315801"
"19",2019,"Export","Canada","Canada","World",1659546,"0"
"20",2019,"Export","Italy","Italy","World",1625918,"215423"
"21",2019,"Export","Poland","Poland","World",1574288,"448740"
"22",2019,"Export","United Kingdom","United Kingdom","World",1369306,"121520"
"23",2019,"Export","Czechia","Czech Republic","World",1315608,"53370"
"24",2019,"Export","Singapore","Singapore","World",1243039,"139753"
"25",2019,"Export","Australia","Australia","World",1134774,"127581"
"26",2019,"Export","Austria","Austria","World",821352,"95894"
"27",2019,"Export","Croatia","Croatia","World",335621,"765250"
"28",2019,"Export","Pakistan","Pakistan","World",235873,"0"
"29",2019,"Export","Other Asia, nes","0","World",220247,"27265"
"30",2019,"Export","Uruguay","Uruguay","World",210788,"44841"
"31",2019,"Export","Malaysia","Malaysia","World",189098,"21260"
"32",2019,"Export","Morocco","Morocco","World",164136,"16690"
"33",2019,"Export","Rep. of Korea","South Korea","World",137081,"8739"
"34",2019,"Export","Turkey","Turkey","World",122386,"15959"
"35",2019,"Export","Kazakhstan","Kazakhstan","World",119953,"12871"
"36",2019,"Export","Belarus","Byelarus","World",103300,"3723"
"37",2019,"Export","Chile","Chile","World",91933,"10335"
"38",2019,"Export","China, Hong Kong SAR","0","World",84385,"9487"
"39",2019,"Export","South Africa","South Africa","World",57097,"52470"
"40",2019,"Export","Switzerland","Switzerland","World",38938,"8000"
"41",2019,"Export","Hungary","Hungary","World",32003,"NA"
"42",2019,"Export","Sweden","Sweden","World",30350,"1125"
"43",2019,"Export","Slovakia","Slovakia","World",27161,"901"
"44",2019,"Export","Latvia","Latvia","World",24610,"1342"
"45",2019,"Export","Finland","Finland","World",20902,"97"
"46",2019,"Export","Bulgaria","Bulgaria","World",20128,"32772"
"47",2019,"Export","Romania","Romania","World",10354,"54640"
"48",2019,"Export","Nicaragua","Nicaragua","World",7287,"1010"
"49",2019,"Export","Russian Federation","Russia","World",3632,"143"
"50",2019,"Export","Saint Lucia","St. Lucia","World",3147,"42"
"51",2019,"Export","United Arab Emirates","United Arab Emirates","World",3022,"2264"
"52",2019,"Export","Bermuda","Bermuda","World",1000,"1"
"53",2019,"Export","Norway","Norway","World",637,"69"
"54",2019,"Export","Côte d'Ivoire","Ivory Coast","World",426,"600"
"55",2019,"Export","Malta","Malta","World",201,"13"
"56",2019,"Export","Eswatini","Swaziland","World",34,"19"
"57",2019,"Export","Indonesia","Indonesia","World",33,"1"
