"","PERIOD","FLOW","REPORTER","MAP_NAME","PARTNER","VAL","NET"
"1",2019,"Import","Norway","Norway","World",799566788,"164011861"
"2",2019,"Import","Netherlands","Netherlands","World",480366591,"NA"
"3",2019,"Import","Mexico","Mexico","World",432048534,"NA"
"4",2019,"Import","United Kingdom","United Kingdom","World",401322152,"22600559"
"5",2019,"Import","Australia","Australia","World",398633298,"43826756"
"6",2019,"Import","South Africa","South Africa","World",316721533,"63982872"
"7",2019,"Import","Denmark","Denmark","World",307106619,"39943635"
"8",2019,"Import","Greece","Greece","World",306610205,"13714709"
"9",2019,"Import","Belgium","Belgium","World",280527643,"19176904"
"10",2019,"Import","Turkey","Turkey","World",262714736,"30760797"
"11",2019,"Import","Canada","Canada","World",246589496,"NA"
"12",2019,"Import","Japan","Japan","World",228154487,"25065587"
"13",2019,"Import","France","France","World",203943985,"33909121"
"14",2019,"Import","Russian Federation","Russia","World",181944199,"16273127"
"15",2019,"Import","Sweden","Sweden","World",177587056,"23716019"
"16",2019,"Import","Other Asia, nes","0","World",172126040,"NA"
"17",2019,"Import","Chile","Chile","World",128244620,"14099538"
"18",2019,"Import","USA","United States","World",112377719,"12355091"
"19",2019,"Import","Spain","Spain","World",108470048,"9945171"
"20",2019,"Import","Argentina","Argentina","World",106281108,"19409091"
"21",2019,"Import","Viet Nam","Vietnam","World",100626557,"11063139"
"22",2019,"Import","Germany","Germany","World",94005323,"10451261"
"23",2019,"Import","Poland","Poland","World",83548324,"14216894"
"24",2019,"Import","Indonesia","Indonesia","World",46676692,"17734764"
"25",2019,"Import","Finland","Finland","World",46206642,"5070942"
"26",2019,"Import","Austria","Austria","World",38366371,"1927187"
"27",2019,"Import","Serbia","Serbia","World",35675922,"6773618"
"28",2019,"Import","Egypt","Egypt","World",33439848,"3675628"
"29",2019,"Import","Kazakhstan","Kazakhstan","World",31009597,"6561354"
"30",2019,"Import","Rep. of Korea","South Korea","World",24582353,"4313273"
"31",2019,"Import","Peru","Peru","World",19371927,"2127010"
"32",2019,"Import","Morocco","Morocco","World",18766128,"1494935"
"33",2019,"Import","China","China","World",11535186,"1267282"
"34",2019,"Import","Luxembourg","Luxembourg","World",8942021,"998427"
"35",2019,"Import","India","India","World",8328355,"915640"
"36",2019,"Import","Thailand","Thailand","World",7171698,"788474"
"37",2019,"Import","Israel","Israel","World",6325000,"695386"
"38",2019,"Import","Ireland","Ireland","World",4648837,"470141"
"39",2019,"Import","Lithuania","Lithuania","World",4601196,"1853364"
"40",2019,"Import","Czechia","Czech Republic","World",4434105,"549705"
"41",2019,"Import","Antigua and Barbuda","Antigua and Barbuda","World",2980510,"53478"
"42",2019,"Import","Uruguay","Uruguay","World",2278508,"241646"
"43",2019,"Import","Italy","Italy","World",2160151,"NA"
